name,set,size,R,G,B,hex
Adeptus Battlegrey,Foundation (discontinued),12ml,74,76,88,#4A4C58
Agrax Earthshade Gloss,Shade,18ml,180,170,158,#B4AA9E
Armageddon Dunes,Technical,12ml,232,211,111,#E8D36F
Astrogranite Debris,Technical,12ml,157,157,157,#9D9D9D
Astronomicon Grey,Foundation (discontinued),12ml,147,171,175,#93ABAF
Asurmen Blue Wash,Foundation Wash (discontinued),12ml,39,62,81,#273E51
Baal Red Wash,Foundation Wash (discontinued),12ml,99,8,8,#630808
Bad Moon Yellow,Foundation (discontinued),12ml,255,242,0,#FFF200
Badab Black Wash,Foundation Wash (discontinued),12ml,0,0,0,#000000
Balor Brown,Air,24ml,135,84,8,#875408
Beaten Copper,Foundation (discontinued),12ml,115,55,45,#73372D
Bestial Brown,Foundation (discontinued),12ml,123,74,57,#7B4A39
Bilious Green,Foundation (discontinued),12ml,169,209,113,#A9D171
Black Ink,Foundation (discontinued),12ml,0,0,0,#000000
Blazing Orange,Foundation (discontinued),12ml,230,89,37,#E65925
Bleached Bone,Foundation (discontinued),12ml,238,213,172,#EED5AC
Blood Red,Foundation (discontinued),12ml,210,34,62,#D2223E
Bloodletter,Glaze,,243,115,85,#F37355
Boltgun Metal,Foundation (discontinued),12ml,136,135,137,#888789
Brazen Brass,Foundation (discontinued),12ml,150,103,71,#966747
Bronzed Flesh,Foundation (discontinued),12ml,236,154,54,#EC9A36
Bubonic Brown,Foundation (discontinued),12ml,184,145,66,#B89142
Burnished Gold,Foundation (discontinued),12ml,224,192,104,#E0C068
Caledor Sky,Air,24ml,54,102,153,#366699
Calgar Blue,Air,24ml,42,73,127,#2A497F
Calthan Brown,Foundation (discontinued),12ml,122,66,49,#7A4231
Camo Green,Foundation (discontinued),12ml,135,141,82,#878D52
Castellax Bronze,Air,24ml,198,131,81,#C68351
Catachan Green,Foundation (discontinued),12ml,69,84,64,#455440
Chainmail,Foundation (discontinued),12ml,142,140,145,#8E8C91
Changeling Pink,Dry,12ml,243,171,202,#F3ABCA
Chaos Black,Foundation (discontinued),12ml,0,21,34,#001522
Charadon Granite,Foundation (discontinued),12ml,70,63,57,#463F39
Chemos Purple,Air,24ml,79,53,108,#4F356C
Chronus Blue,Dry,12ml,75,144,207,#4B90CF
Codex Grey,Foundation (discontinued),12ml,128,130,133,#808285
Commando Khaki,Foundation (discontinued),12ml,154,140,123,#9A8C7B
Corax White,Spray,,255,255,255,#FFFFFF
Cryptek Armourshade Gloss,Shade,18ml,133,106,103,#856A67
Dark Angels Green,Foundation (discontinued),12ml,25,85,60,#19553C
Dark Flesh,Foundation (discontinued),12ml,104,59,49,#683B31
Dark Green Ink,Foundation (discontinued),12ml,16,132,115,#108473
Death Korps Drab,Air,24ml,61,69,57,#3D4539
Deathclaw Brown,Air,24ml,175,99,79,#AF634F
Deathshroud Clear,Air,24ml,28,28,27,#1C1C1B
Desert Yellow,Foundation (discontinued),12ml,156,136,85,#9C8855
Devlan Mud Wash,Foundation Wash (discontinued),12ml,57,49,33,#393121
Dheneb Stone,Foundation (discontinued),12ml,184,172,160,#B8ACA0
Dryad Bark,Air,24ml,43,42,36,#2B2A24
Dwarf Bronze,Foundation (discontinued),12ml,162,104,64,#A26840
Dwarf Flesh,Foundation (discontinued),12ml,218,147,130,#DA9382
Elf Flesh,Foundation (discontinued),12ml,237,174,116,#EDAE74
Enchanted Blue,Foundation (discontinued),12ml,0,113,183,#0071B7
Fenrys Grey,Foundation (discontinued),12ml,44,67,99,#2C4363
Fiery Orange,Foundation (discontinued),12ml,244,121,32,#F47920
Flesh Wash,Foundation Wash (discontinued),12ml,206,140,66,#CE8C42
Fortress Grey,Foundation (discontinued),12ml,188,189,192,#BCBDC0
Gal Vorbak Red,Air,24ml,75,33,60,#4B213C
Genestealer Purple,Air,24ml,118,88,165,#7658A5
Ghostly Grey,Foundation (discontinued),12ml,195,198,205,#C3C6CD
Goblin Green,Foundation (discontinued),12ml,61,147,83,#3D9353
Golden Yellow,Foundation (discontinued),12ml,255,194,14,#FFC20E
Graveyard Earth,Foundation (discontinued),12ml,102,82,56,#665238
Gretchin Green,Foundation (discontinued),12ml,126,105,48,#7E6930
Gryphonne Sepia Wash,Foundation Wash (discontinued),12ml,132,57,16,#843910
Guilliman Blue,Glaze,,47,154,214,#2F9AD6
Hawk Turquoise,Foundation (discontinued),12ml,0,129,148,#008194
Hellion Green,Dry,12ml,127,193,165,#7FC1A5
Hexwraith Flame,Technical,12ml,41,162,54,#29A236
Hormagaunt Purple,Foundation (discontinued),12ml,84,73,107,#54496B
Ice Blue,Foundation (discontinued),12ml,129,211,235,#81D3EB
Imperial Purple,Foundation (discontinued),12ml,86,47,126,#562F7E
Iron Hands Steel,Air,24ml,178,167,159,#B2A79F
Ironbreaker,Air,24ml,137,144,146,#899092
Iyanden Darksun,Foundation (discontinued),12ml,173,133,46,#AD852E
Jade Green,Foundation (discontinued),12ml,6,155,125,#069B7D
Kakophoni Purple,Air,24ml,136,105,174,#8869AE
Karak Stone,Air,24ml,183,148,92,#B7945C
Khemri Brown,Foundation (discontinued),12ml,115,97,77,#73614D
Kindleflame,Dry,12ml,246,156,130,#F69C82
Knarloc Green,Foundation (discontinued),12ml,72,86,60,#48563C
Kommando Khaki,Foundation (discontinued),12ml,158,145,92,#9E915C
Kommando Khaki,Foundation (discontinued),12ml,155,140,123,#9B8C7B
Lamenters Yellow,Glaze,,255,245,107,#FFF56B
Leprous Brown,Foundation (discontinued),12ml,216,142,45,#D88E2D
Leviathan Purple Wash,Foundation Wash (discontinued),12ml,132,41,148,#842994
